epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,2243.93,0.85259,0.68419,1.10325,0.82465,0.64217,0.70389,0.51068,1.12003,1.05145,1.33726,0.000618875,0.000618875,0.000618875
104,2265.5,0.83804,0.67299,1.09544,0.84549,0.59622,0.69196,0.49887,1.18,1.00574,1.42895,0.000612687,0.000612687,0.000612687
105,2287,0.84107,0.69101,1.09609,0.87832,0.64062,0.71936,0.52747,1.15372,1.06308,1.42052,0.0006065,0.0006065,0.0006065
106,2308.79,0.82268,0.64596,1.08634,0.81993,0.61734,0.72683,0.53014,1.17712,1.00577,1.4356,0.000600313,0.000600313,0.000600313
107,2330.55,0.83197,0.64578,1.09446,0.8141,0.56562,0.66336,0.48673,1.14421,1.08913,1.39478,0.000594125,0.000594125,0.000594125
108,2352.12,0.80824,0.62016,1.07781,0.80547,0.61613,0.72389,0.53442,1.14542,1.11763,1.4021,0.000587938,0.000587938,0.000587938
109,2373.84,0.83095,0.64342,1.09423,0.70096,0.64184,0.67112,0.49051,1.1452,1.05095,1.39798,0.00058175,0.00058175,0.00058175
110,2395.25,0.80796,0.61158,1.07086,0.78946,0.621,0.70278,0.52243,1.07884,0.99738,1.34897,0.000575563,0.000575563,0.000575563
111,2417.08,0.7969,0.63701,1.07329,0.81695,0.662,0.72147,0.52633,1.16446,0.97881,1.42904,0.000569375,0.000569375,0.000569375
112,2438.55,0.82814,0.64094,1.08909,0.78947,0.63434,0.72792,0.53295,1.14569,1.07593,1.39696,0.000563187,0.000563187,0.000563187
113,2460.01,0.80067,0.61059,1.0715,0.82366,0.56758,0.64918,0.4871,1.09293,1.04549,1.35821,0.000557,0.000557,0.000557
114,2481.56,0.79533,0.61866,1.06571,0.84358,0.66823,0.73114,0.52842,1.11061,1.03079,1.3737,0.000550813,0.000550813,0.000550813
115,2503.14,0.802,0.63682,1.08667,0.75255,0.56539,0.6598,0.48234,1.11403,1.04241,1.37845,0.000544625,0.000544625,0.000544625
116,2524.52,0.7852,0.63335,1.06471,0.58819,0.61493,0.60751,0.44524,1.1095,1.04789,1.3733,0.000538438,0.000538438,0.000538438
117,2545.99,0.79424,0.63734,1.06776,0.66791,0.73599,0.6994,0.52193,1.10196,0.98592,1.36413,0.00053225,0.00053225,0.00053225
118,2567.46,0.79687,0.60872,1.06493,0.83353,0.54172,0.66422,0.4891,1.07826,1.0145,1.34559,0.000526063,0.000526063,0.000526063
119,2588.97,0.80787,0.628,1.07337,0.62399,0.6501,0.67304,0.48961,1.11918,1.03497,1.39222,0.000519875,0.000519875,0.000519875
120,2610.37,0.8051,0.64203,1.07124,0.79837,0.56107,0.64989,0.48686,1.11434,1.20831,1.40458,0.000513688,0.000513688,0.000513688
121,2631.92,0.77955,0.61104,1.07201,0.78527,0.58544,0.6745,0.49518,1.11886,1.04533,1.38542,0.0005075,0.0005075,0.0005075
122,2653.3,0.76889,0.60829,1.05365,0.84492,0.6221,0.69565,0.5094,1.07981,1.08602,1.34727,0.000501313,0.000501313,0.000501313
123,2674.79,0.78551,0.58362,1.05381,0.64296,0.68747,0.67003,0.4896,1.0985,1.04529,1.37357,0.000495125,0.000495125,0.000495125
124,2696.37,0.7615,0.58533,1.04973,0.85109,0.61108,0.71812,0.52711,1.14272,1.06647,1.38289,0.000488938,0.000488938,0.000488938
125,2717.84,0.78556,0.60109,1.07104,0.82279,0.62247,0.69944,0.5268,1.07592,1.05247,1.33141,0.00048275,0.00048275,0.00048275
126,2739.23,0.76459,0.59004,1.06262,0.85717,0.60943,0.70533,0.51937,1.09922,1.04645,1.37811,0.000476562,0.000476562,0.000476562
127,2760.94,0.76144,0.59362,1.04909,0.8909,0.61092,0.69041,0.50372,1.14038,1.00667,1.40049,0.000470375,0.000470375,0.000470375
128,2782.43,0.76409,0.58188,1.04575,0.75448,0.68007,0.71158,0.51114,1.12232,0.96968,1.38747,0.000464188,0.000464188,0.000464188
129,2803.9,0.75558,0.57687,1.03818,0.88188,0.64211,0.71215,0.5161,1.09572,1.00103,1.37402,0.000458,0.000458,0.000458
130,2825.49,0.75054,0.59074,1.03544,0.67389,0.72162,0.69491,0.50511,1.09782,1.00824,1.36942,0.000451813,0.000451813,0.000451813
131,2846.91,0.75837,0.57168,1.04662,0.88176,0.67957,0.7411,0.54473,1.12226,1.01088,1.39318,0.000445625,0.000445625,0.000445625
132,2868.66,0.77959,0.57661,1.05489,0.86868,0.57128,0.66183,0.48459,1.11055,1.01388,1.36998,0.000439437,0.000439437,0.000439437
133,2890.19,0.73953,0.55121,1.03917,0.86485,0.62045,0.70088,0.52335,1.10243,1.02994,1.36848,0.00043325,0.00043325,0.00043325
134,2911.79,0.73395,0.55887,1.03011,0.81663,0.67792,0.72334,0.53738,1.08732,1.01936,1.36603,0.000427062,0.000427062,0.000427062
135,2933.34,0.74682,0.56563,1.02958,0.84188,0.67303,0.72039,0.53565,1.117,1.06238,1.38923,0.000420875,0.000420875,0.000420875
136,2954.72,0.74638,0.56158,1.02277,0.7851,0.62766,0.69098,0.50812,1.07963,1.08625,1.37371,0.000414688,0.000414688,0.000414688
137,2976.27,0.74,0.5403,1.03229,0.92322,0.62012,0.71,0.53848,1.07558,0.95396,1.36918,0.0004085,0.0004085,0.0004085
138,2997.77,0.73355,0.53923,1.03716,0.78695,0.68877,0.73838,0.5575,1.07685,0.99276,1.35826,0.000402312,0.000402312,0.000402312
139,3019.47,0.72263,0.54857,1.03091,0.8942,0.6096,0.72474,0.5334,1.0991,0.99366,1.36552,0.000396125,0.000396125,0.000396125
140,3040.93,0.71203,0.52244,1.0121,0.85769,0.64938,0.71933,0.54733,1.09088,1.00606,1.38105,0.000389938,0.000389938,0.000389938
141,3062.4,0.73016,0.54242,1.04747,0.79484,0.70267,0.7298,0.55207,1.07686,0.93599,1.35902,0.00038375,0.00038375,0.00038375
142,3083.86,0.7288,0.53446,1.02936,0.79819,0.69507,0.70991,0.53116,1.057,0.99508,1.33759,0.000377563,0.000377563,0.000377563
143,3105.5,0.71326,0.52814,1.01949,0.90045,0.6491,0.73618,0.55552,1.05181,0.97809,1.33157,0.000371375,0.000371375,0.000371375
